Id,SalePrice
1461,114446.52576486205
1462,152118.44503834026
1463,163846.812613843
1464,197110.92120024038
1465,186547.2354155282
1466,171285.55877155816
1467,193241.9296097945
1468,172663.11709476027
1469,194131.04386394846
1470,114872.55229461721
1471,202065.5543656027
1472,104656.2202077602
1473,98591.7289519355
1474,158549.22483597975
1475,122669.76466460452
1476,336943.9517092921
1477,245612.05625646346
1478,317130.9368658192
1479,300000.2989354555
1480,499710.745776205
1481,295734.58664686006
1482,218292.1799156245
1483,168381.29139521447
1484,173532.9586728919
1485,200780.86730466026
1486,200583.8992886131
1487,289794.33479936974
1488,251897.41816742346
1489,179629.86422496862
1490,210828.2342656927
1491,201752.57455897937
1492,96639.6866487635
1493,227853.35936696242
1494,293197.59812722704
1495,272047.10086947464
1496,228136.15769143243
1497,165801.45870327725
1498,168925.4892957099
1499,171426.82145814388
1500,160636.31151079765
1501,162828.13417633408
1502,165340.9790719223
1503,284794.2365019676
1504,249725.89105573818
1505,221675.19564117875
1506,198005.0745649398
1507,231011.3911047309
1508,199014.09903929103
1509,161059.46904000526
1510,139406.8799728633
1511,141938.9835726692
1512,162127.45979172466
1513,138487.97484966202
1514,150305.8167289881
1515,169273.69505283472
1516,141803.7244368371
1517,155316.57691924245
1518,134559.51284314622
1519,212276.63136675663
1520,125320.15563393822
1521,119379.04109679082
1522,176738.5013430451
1523,93741.41195561033
1524,118624.1091825673
1525,107290.82873679194
1526,105246.12115119849
1527,97467.63741418092
1528,140869.81883184557
1529,147835.42292367577
1530,198832.62290445855
1531,128863.81221317069
1532,108924.22012649412
1533,159334.52704203696
1534,137322.8314506058
1535,146520.34964961334
1536,101550.62023568225
1537,72450.56627362197
1538,161834.69127588556
1539,200721.06523141343
1540,101894.25908908312
1541,146630.79981547658
1542,135657.40316990452
1543,169969.8774094577
1544,93782.12581617442
1545,119593.8777369038
1546,146400.9721681225
1547,130965.83245038133
1548,128098.11433956296
1549,115587.73885162202
1550,126153.95878923002
1551,128268.93287868344
1552,135003.4043572397
1553,129343.32395485391
1554,122379.00337960757
1555,151378.93553121085
1556,90625.17159167047
1557,84798.00427572631
1558,117034.17257513475
1559,64052.35895930683
1560,143530.11229675164
1561,112819.10980674265
1562,140262.3973607693
1563,114472.70062546406
